hash256,birth_year_value,death_year_value,birth_city,birth_state,birth_city_lat_long,birth_country,death_city,death_state,death_country,death_city_latitude_longitude
5c8d2de06bb638ef8779a332fd4745b6a852b22f13334718983b8fc451b61d10,1765,1839,,,,,Cranston,RI,United States of America,"41.77899, -71.43723"
2c4516d2d8511b8aec953c3544678fabc52df3955f6ecfb53601825249b42aab,1765,1849,Sudbury,MA,"42.3824, -71.4180",United States of America,Providence,RI,United States of America,"41.82442, -71.41251"
fd18e12ad6e9fa70662bbe2e1a95d57b5e44cf9e993a66a0c33d55bb17c85335,1765,1804,Johnston,RI,"41.83069, -71.54211",United States of America,,,,
45fe4ee4a452e092255056a0ac81f1ca264a8a72439d302990060260e955b8b6,1765,1847,Westport,MA,"41.6211, -71.0778",United States of America,Fairhaven,MA,United States of America,"41.6360, -70.9016"
63b1c577602deb838ba193b150868b37a7207c4394129b8012951571777d5580,1766,1823,Johnston,RI,"41.83069, -71.54211",United States of America,,,,
f36bad235ad5a74fedafd90dc9732225e051d3c5e280897f80dfd0f2dd48640b,1766,1846,,,,,Dodgeville,MA,United States of America,"41.92080, -71.29655"
5f9278e4cd671ff45c896d22d6ebd649b3462a42339b5aacf95719cc9f584993,1767,1843,Newport,RI,"41.49032, -71.31363",United States of America,Providence,RI,United States of America,"41.82442, -71.41251"
30e3e14aadbdda4816ca2fa4b9f62c1065c5fbe2c4eea785f7af5b99f2194b9d,1767,1821,New Bedford,MA,"41.6355, -70.9336",United States of America,Smithfield,RI,United States of America,"41.9217, -71.5481"
08e721f6ea86abb1d8e8e05ad61db7e9da359a2072e23f927a858a5394f48399,1767,1834,,,,,Boston,Ma,United States of America,"42.3555, -71.0603"
b6c58cbf5404fb6e9dcc22d2375816d55098c01c058394769493e2fb928597c1,1767,1804,Johnston,RI,"41.83069, -71.54211",United States of America,,,,
be6715d5fbd541211a7a09e0dfd00cfc65b5219980706bde0f7ac5705be74612,1768,1828,Norwich,CT,"41.5243, -72.0765",United States of America,,,,
c669907bb3d536babd17948c50f4da4faaf1c5fd4767451e922fc2e88c933986,1768,1848,Newport,RI,"41.49032, -71.31363",United States of America,,,,
7ea85a68780464a5c8c3bf352f37d9ce46081d5b57e330be64cbb65f522bffea,1768,1841,Providence,RI,"41.82442, -71.41251",United States of America,Nantucket,MA,United States of America,"41.2729, -70.0948"
b0fb7ecb7f96e53a8beef50035f8553c7ae6d79a4b4b9a9e38340c797571c990,1769,1835,Beverly,MA,"42.55106, -70.87881",United States of America,Providence,RI,United States of America,"41.82442, -71.41251"
a52ab46af559555e67c26213273aa672fed6d9b3284437301079b4007fe1e9c8,1769,1835,Sudbury,MA,"42.3824, -71.4180",United States of America,,,,
96d1407fb098181cc533044dbfc22318c8e504c8f7bd63c1b80e87df355706f6,1769,1851,,,,,North Providence,RI,United States of America,"41.84987, -71.46598"
a8a22c4656f8cda871905daef3235f7c0e115b8f2d44ac894d5c68ddc45652c0,1770,1824,Providence,RI,"41.82442, -71.41251",United States of America,,,,
4c9380ddff4411f0c62dc15ea941bbcae64d02d3cd8e84b483b6f2a55102969f,1770,1833,Falmouth,MA,"41.5520, -70.6112",United States of America,,,,
1a2bf03b4f0057e7987eedee81a6981562bdf5f0b879df50a7ec7e03631bec5e,1770,1851,,,,,Pottsville,PA,United States of America,"40.68493, -76.19551"
75dfcdae7ab4c6cc03e010dbb171d8b3c849ee5540c30968b8e457b95e939626,1770,1842,Providence,RI,"41.82442, -71.41251",United States of America,,,,
d3bab07e15713f44d50181c7e76d4089d13ad748f1ed3be19634b8c005d60bef,1770,1853,Somerset,MA,"41.7693, -71.1296",United States of America,Providence Neck,RI,United States of America,"41.82442, -71.41251"
4d49cd060a58348b2d640aa436dccf40b50d898304c38ba60d38c5d1e724b996,1771,1838,,,,,Cranston,RI,United States of America,"41.77899, -71.43723"
228a4905a74b55a7139eee2fb922fced563de0230cdcfa35ee65ea94a83914d2,1771,1838,Attleborough,MA,"41.92482, -71.34976",United States of America,,,,
f76cf6d7117ba6ea748494c9dd95b2643501024f86e817def473e2609f59aeb6,1771,1812,,,,,Smithfield,RI,United States of America,"41.9217, -71.5481"
b249e76103385adc98bf9609ccd2f81485e255084e8b2aab01f2f70715374329,1772,1800,Johnston,RI,"41.83069, -71.54211",United States of America,,,,
b0a5b4ea9b053d734fff49da71f71f3cb0880f33a134d523f6578164c71d62d2,1773,1843,Boston,MA,"42.3555, -71.0603",United States of America,Providence,RI,United States of America,"41.82442, -71.41251"
bf65c15300460f5fd94909225c7a11306d41cc29c85d3cb34f835038048a335e,1773,1843,Boston,MA,"42.3555, -71.0603",United States of America,,,,
3798a308da59f56ec38596d4bd935db4f7851a94d1fb3d74926680b4f768fbaf,1773,1849,Providence,RI,"41.82442, -71.41251",United States of America,Smithfield,RI,United States of America,"41.9217, -71.5481"
d77af62265933938a3f1b38c0621f21c0c05b61e14b7983933c401aaf3a56a2d,1773,1849,Taunton,MA,"41.9007, -71.0942",United States of America,Providence,RI,United States of America,"41.82442, -71.41251"
b202ef372c3e7535c93dabd091a7615f6851b6af90760400b077168d839e39e8,1774,1863,Town of Plymouth,Island Mount Sarat,"16.70542, -62.21240",West Indies,,,,
b472b50fd270706116b649d2285593f34855c5fc48afb4b4d97f09d38ed9dcbf,1774,1837,Dighton,MA,"41.81495, -71.12051",United States of America,,,,
