alias,comp,cond_sterling,cond_rivera,legi_sterling,legi_rivera,cond_rivera_original,legi_rivera_original
0801,marble,poor,good,poor,poor,1_sound_in_situ_or_leaning,4_traces
0802,marble,fair,good,good,fair,2_sound_displaced,3_mainly_legible
0803,marble,fair,good,fair,poor,1_sound_in_situ_or_leaning,4_traces
0804,marble,fair,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0805,marble,good,good,good,poor,1_sound_in_situ_or_leaning,4_traces
0806,marble,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0807,marble,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0808,marble,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0809,marble,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0810,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0811,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0812,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0813,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0814,slate,fair,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0815,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0816,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0817,slate,good,fair,good,good,3_falling_apart_incomplete_recognizable,1_mint
0818,marble,poor,good,poor,poor,1_sound_in_situ_or_leaning,5_illegible_destroyed
0819,marble,poor,good,poor,fair,2_sound_displaced,3_mainly_legible
0820,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0821,marble,good,gone,good,,6_in_sterling_no_longer_identifiable_on_site,
0822,marble,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0823,marble,poor,good,fair,unknown,2_sound_displaced,6_face_down
0824,marble,poor,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0825,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0826,marble,poor,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0827,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0828,marble,fair,good,fair,poor,1_sound_in_situ_or_leaning,4_traces
0829,marble,fair,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0830,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0831,marble,poor,good,poor,poor,1_sound_in_situ_or_leaning,5_illegible_destroyed
0832,marble,fair,good,fair,poor,2_sound_displaced,5_illegible_destroyed
0833,slate,fair,gone,good,,6_in_sterling_no_longer_identifiable_on_site,
0834,slate,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0835,marble,good,good,fair,fair,2_sound_displaced,3_mainly_legible
0836,marble,good,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0837,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,4_traces
0838,slate,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0839,marble,fair,good,fair,good,1_sound_in_situ_or_leaning,2_all_legible
0840,marble,fair,good,fair,poor,1_sound_in_situ_or_leaning,4_traces
0841,marble,fair,good,fair,poor,1_sound_in_situ_or_leaning,4_traces
0842,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0843,granite,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0844,granite,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0845,granite,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0846,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0847,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0848,marble,fair,fair,fair,poor,3_falling_apart_incomplete_recognizable,4_traces
0849,marble,good,good,poor,fair,2_sound_displaced,3_mainly_legible
0850,marble,fair,good,fair,good,1_sound_in_situ_or_leaning,2_all_legible
0851,marble,good,good,fair,poor,1_sound_in_situ_or_leaning,4_traces
0852,marble,good,good,good,fair,2_sound_displaced,3_mainly_legible
0853,marble,good,good,good,fair,2_sound_displaced,3_mainly_legible
0854,slate,good,good,good,good,2_sound_displaced,2_all_legible
0855,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0856,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0857,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0858,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0859,slate,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0860,marble,fair,poor,poor,poor,4_collapsed_form_unknown,4_traces
0861,marble,fair,poor,poor,poor,4_collapsed_form_unknown,4_traces
0862,marble,fair,good,fair,good,1_sound_in_situ_or_leaning,2_all_legible
0863,marble,fair,good,fair,good,1_sound_in_situ_or_leaning,2_all_legible
0864,sandstone,poor,good,poor,poor,1_sound_in_situ_or_leaning,5_illegible_destroyed
0865,marble,poor,good,poor,poor,1_sound_in_situ_or_leaning,4_traces
0866,marble,poor,good,poor,poor,1_sound_in_situ_or_leaning,4_traces
0867,marble,fair,gone,poor,,6_in_sterling_no_longer_identifiable_on_site,
0868,marble,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0869,marble,good,poor,good,unknown,4_collapsed_form_unknown,6_face_down
0870,marble,fair,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0871,marble,fair,good,fair,good,1_sound_in_situ_or_leaning,2_all_legible
0872,marble,fair,fair,poor,poor,3_falling_apart_incomplete_recognizable,4_traces
0873,marble,fair,good,fair,poor,1_sound_in_situ_or_leaning,5_illegible_destroyed
0874,marble,fair,good,fair,poor,1_sound_in_situ_or_leaning,4_traces
0875,marble,fair,good,fair,good,1_sound_in_situ_or_leaning,2_all_legible
0876,granite,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0877,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0878,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0879,marble,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0880,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0881,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0882,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0883,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0884,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0885,slate,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0886,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0887,marble,poor,good,fair,poor,1_sound_in_situ_or_leaning,4_traces
0888,marble,fair,good,fair,poor,2_sound_displaced,4_traces
0889,marble,fair,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0890,marble,fair,fair,fair,fair,3_falling_apart_incomplete_recognizable,3_mainly_legible
0891,marble,poor,poor,poor,fair,5_overgrown,3_mainly_legible
0892,marble,poor,fair,poor,poor,3_falling_apart_incomplete_recognizable,4_traces
0893,marble,fair,good,good,fair,2_sound_displaced,3_mainly_legible
0894,granite,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0895,granite,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0896,marble,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0897,marble,good,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0898,marble,fair,good,poor,poor,2_sound_displaced,4_traces
0899,marble,fair,good,poor,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0900,marble,fair,good,poor,fair,2_sound_displaced,3_mainly_legible
0901,marble,fair,good,poor,fair,2_sound_displaced,3_mainly_legible
0902,marble,good,good,good,good,2_sound_displaced,2_all_legible
0903,marble,good,fair,good,good,3_falling_apart_incomplete_recognizable,2_all_legible
0904,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0905,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,4_traces
0906,marble,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0907,marble,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0908,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0909,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0910,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0911,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0912,slate,good,fair,good,fair,3_falling_apart_incomplete_recognizable,3_mainly_legible
0913,slate,good,poor,good,fair,5_overgrown,3_mainly_legible
0914,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0915,slate,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0916,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0917,marble,fair,good,fair,unknown,2_sound_displaced,6_face_down
0918,marble,poor,gone,poor,,6_in_sterling_no_longer_identifiable_on_site,
0919,,,poor,,unknown,4_collapsed_form_unknown,6_face_down
0920,granite,good,gone,good,,6_in_sterling_no_longer_identifiable_on_site,
0921,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0922,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0923,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0924,slate,poor,poor,fair,poor,4_collapsed_form_unknown,5_illegible_destroyed
0925,,,good,,poor,1_sound_in_situ_or_leaning,5_illegible_destroyed
0926,marble,poor,poor,good,poor,5_overgrown,4_traces
0927,slate,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0928,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0929,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0930,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0931,slate,fair,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0932,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0933,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0934,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0935,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
