hash256,section,composition,condition,legibility,estimated_installation_year
11d9effae515ab688a05d570e3f7d90a474a7d1bfeae1a4054ef9c87b4f96a08,AA,slate,good,good,1815
1246858de6bd9d0ecd90c23f1f0293ee70ad064cef3425c9cfc29da4d252b8ef,AA,marble,fair,poor,1845
1254801d96f2e01f3ea482593d7fa8238890bdc313dc1dda5bbd8af48a66cd2d,AA,marble,fair,fair,
125812784c5819c05c3102cd4071721f773a7f8b0dbc208278b5c76d09bdea5f,AA,granite,good,good,1875
12d9b5d975a525951d98cde129d02a95e6d0f2f118969bb849e2382ecba2112a,AA,slate,good,good,1814
12da7998f3fe38ce9bb2d16f5e93295c016f40eefd9c5b2903480ea712bce90e,AA,marble,good,good,1888
1301dac286c2dbe01bd34024fa2f33941aa51007d59d7907cc21bc4e4f6e71a7,AA,granite,good,good,1884
13930275a3333294ff48c3d9c483d32d9418ce8540075dd96a7ff5b1b0640934,AA,slate,good,good,1785
13d838a9569fb1bcc850d463162a4047c7db1bb25460afe0a406f55b15d5c9db,AA,granite,good,good,1938
13e1d7e592d81574a9e75f881d725c1c8d1df99a1ee6f94e9cd687827be9810c,AA,slate,fair,good,1766
1461ad8ea40d0e080603b6990e89dec5d5f2bf59be3bd32995a993f9bc6f8020,AA,sandstone,poor,poor,1807
1466ebbdd98dc03e62d1630ec6506ac080201f4b6d7741b493bccf7848ba146a,AA,slate,good,good,1804
14671fdd0e82578c2ae348f231d3bba4768bbfdbaf31e24146aacd51097d5a3f,AA,slate,good,good,1838
146e65122a5643060fcb71854fe3298b6d20d62d0f14d90b02c52f24a548a768,AA,marble,fair,fair,1866
14cc93f84bffb916e50125f709004ada8a3b7eec056c80511b73279922d1b2df,AA,marble,good,good,1801
14cf3acb238cac57f0ed6742ed8620de1e512eb978b5c1e5fd3afca1848ddbf4,AA,granite,good,good,1902
14ec7c284c56172a56761a781e994b2a57c103750922235acf0cf1b4bf6bb1bf,AA,granite,good,good,1881
1509b94cccb84516d3eacfcf68fc4dfe3830f590a11d20c58c4cc4ebd9397151,AA,slate,good,good,1772
15290c7290deb4fce1e96fcb90f32f2b4a6124e4a2e3576a3e2a225bede0daac,AA,granite,good,good,1928
154f5bbfa33f764650bc91cc44e0a8362ee9ff920764cb97a7615d37d5621fd2,AA,slate,good,good,1840
156ad30c677dfa52112b6af03e9bb406a045ec3176260dde917974f6239bd97c,AA,slate,good,good,1804
159936ffeb631e26b75de1467a0753fa54a46d6e9ff0d7b367db231833aadcfe,AA,marble,fair,poor,1822
15a93653a815697c7ca3c646316b4def612a37e7ddf52704cf77c83e1cd00e93,AA,slate,good,good,1798
160efd28d1b951033d47312063052464e02863a1e3687698930eeb65641b0310,AA,marble,good,good,1858
